

i      x0        x1        u0             u1             
355     0.610     0.181     2.924e-04     -3.377e-05     
356     0.651     0.192     3.095e-04     -3.626e-05     
357     0.568     0.172     2.749e-04     -3.164e-05     
358     0.410     0.821     1.828e-04     -1.584e-04     
359     0.201     0.796     8.912e-05     -1.596e-04     
360     0.246     0.810     1.091e-04     -1.613e-04     
361     0.801     0.309     3.666e-04     -5.746e-05     
362     0.790     0.264     3.652e-04     -4.956e-05     
363     0.114     0.334     5.223e-05     -7.718e-05     
364     0.439     0.583     1.972e-04     -1.122e-04     
365     0.479     0.758     2.137e-04     -1.443e-04     
366     0.489     0.804     2.183e-04     -1.526e-04     
367     0.763     0.506     3.407e-04     -9.339e-05     
368     0.808     0.520     3.592e-04     -9.570e-05     
369     0.132     0.045     1.281e-04     -5.554e-06     
370     0.124     0.265     5.958e-05     -6.252e-05     
371     0.102     0.257     4.862e-05     -6.369e-05     
372     0.118     0.242     5.801e-05     -5.833e-05     
373     0.098     0.235     4.791e-05     -5.972e-05     
374     0.112     0.221     5.658e-05     -5.452e-05     
375     0.093     0.215     4.688e-05     -5.631e-05     
376     0.079     0.227     3.864e-05     -6.110e-05     
377     0.076     0.209     3.792e-05     -5.819e-05     
378     0.089     0.197     4.631e-05     -5.320e-05     
379     0.073     0.191     3.785e-05     -5.537e-05     
380     0.086     0.180     4.657e-05     -5.011e-05     
381     0.070     0.175     3.856e-05     -5.250e-05     
382     0.058     0.185     3.068e-05     -5.702e-05     
383     0.057     0.170     3.151e-05     -5.452e-05     
384     0.067     0.161     3.917e-05     -5.012e-05     
385     0.054     0.157     3.189e-05     -5.272e-05     
386     0.044     0.165     2.499e-05     -5.647e-05     
387     0.042     0.153     2.548e-05     -5.491e-05     
388     0.051     0.145     3.280e-05     -5.101e-05     
389     0.040     0.141     2.661e-05     -5.322e-05     
390     0.048     0.134     3.406e-05     -4.948e-05     
391     0.102     0.185     5.487e-05     -4.794e-05     
